CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	predefinedConcept	isDraggable	isDeletable	isTextChangeable	isActive	text_summarized
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	769209e6-6032-41ca-a1b0-e0ff50cb292b	climate change	0	NA	2023-12-10T10:36:59Z	650	400	TRUE	0	0	0	TRUE	climate change_neutral
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	8b01c3ab-3854-4eb3-93b4-958e792aa19d	extreme weather events	-3	NA	2023-12-10T10:37:18Z	784	264	FALSE	1	1	1	TRUE	natural disaster_negative
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	9654db92-2af6-4eec-983a-ae7ab56adbd9	destruction of the environment	-3	NA	2023-12-10T10:38:36Z	841	413	FALSE	1	1	1	TRUE	destruction of the environment_negative
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	3ceb4b34-43c0-4809-9a21-db85f7faa877	environmentally friendly behavior	3	NA	2023-12-10T10:39:17Z	499	346	FALSE	1	1	1	TRUE	environmental friendly behavior_positive
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	56cf4f25-d4ea-439f-856c-5d5b2cb37b7e	famine	-3	NA	2023-12-10T10:42:10Z	885	554	FALSE	1	1	1	TRUE	danger to humanity_negative
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	5a0b8855-bb61-4f9b-913b-ca2ccc1688e8	increased species extinction	-3	NA	2023-12-10T10:43:01Z	1015	362	FALSE	1	1	1	TRUE	destruction of the environment_negative
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	ffcbb0c0-cd86-4355-b4bc-0460f38bd772	renewable energy	3	NA	2023-12-10T10:43:46Z	455	489	FALSE	1	1	1	TRUE	green technologies_positive
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	8e282115-5cce-4a1a-9151-272f106b67a1	destruction of human habitat	-3	NA	2023-12-10T10:43:47Z	927	190	FALSE	1	1	1	TRUE	danger to humanity_negative
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	0386fbbf-7294-4d09-92a5-659326e6b21f	sustainable behavior	2	NA	2023-12-10T10:45:53Z	395	207	FALSE	1	1	1	TRUE	environmental friendly behavior_positive
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	baba20d0-cd15-415d-8cd5-7ed8bbca476e	expensive for consumers	0	NA	2023-12-10T10:47:13Z	490	593	FALSE	1	1	1	TRUE	costs_neutral
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	96117279-374e-46f2-8c7b-2d1690a9c5ba	zero waste	1	NA	2023-12-10T10:47:21Z	289	326	FALSE	1	1	1	TRUE	environmental friendly behavior_positive
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	e62aa1c5-7933-4214-8d7a-b8e716c3475b	future generations suffer	-3	NA	2023-12-10T10:50:04Z	696	519	FALSE	1	1	1	TRUE	global dimension_negative
3265d161-73e2-49c1-adb5-4fc6753d1458	5d6fda2bde432b0019b19ba7	8053cc8a-660c-490a-a584-cd0d0c087426	heat	-2	NA	2023-12-10T10:51:15Z	651	197	FALSE	1	1	1	TRUE	natural disaster_negative
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	8c0213df-d5a3-443f-8a2c-d0019cbed284	climate change	-3	NA	2023-12-10T10:28:52Z	650	400	TRUE	0	0	0	TRUE	climate change_negative
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	d4c93f00-0ebb-4d4b-9643-abd5b061f589	co2 emission	-3	NA	2023-12-10T10:29:12Z	866.8889	264.3333	FALSE	1	1	1	TRUE	scientific explanation_negative
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	43a1b242-79ce-482d-967e-d8ed06336adc	renewable energy	3	NA	2023-12-10T10:29:29Z	967.8889	463.3333	FALSE	1	1	1	TRUE	green technologies_positive
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	fc301c69-3f02-4fae-b98e-764c0199f410	cost issue	10	NA	2023-12-10T10:29:46Z	778.8889	579.3333	FALSE	1	1	1	TRUE	costs_ambivalent
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	bcdbcc81-1900-4b6d-9cce-6689052b0e3b	sustainability	3	NA	2023-12-10T10:29:54Z	507.8889	277.3333	FALSE	1	1	1	TRUE	protection of the environment_positive
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	03847f72-3a6b-4105-a9b1-dec3f0581f5b	lifestyle adaptation	10	NA	2023-12-10T10:30:08Z	680.8889	163.3333	FALSE	1	1	1	TRUE	environmental friendly behavior_ambivalent
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	2097142d-6bde-4f6f-a49d-e93c4c84ce03	rainforest clearing	-3	NA	2023-12-10T10:30:26Z	525.8889	555.3333	FALSE	1	1	1	TRUE	destruction of the environment_negative
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	64f7bbc1-c6ea-4562-97eb-ed364cfa85f8	species extinction	-3	NA	2023-12-10T10:30:40Z	329.8889	505.3333	FALSE	1	1	1	TRUE	destruction of the environment_negative
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	3f892527-aff8-44f7-be6d-b66344f791ba	adaptation of means of transportation	10	NA	2023-12-10T10:30:56Z	1074.8889	310.3333	FALSE	1	1	1	TRUE	political measures against climate change_ambivalent
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	caad6b31-59bf-48e1-a04a-aacf1af4369e	vegan/ vegetarian	1	NA	2023-12-10T10:31:30Z	283.8889	180.3333	FALSE	1	1	1	TRUE	environmental friendly behavior_positive
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	3180febb-87fc-40e4-8e4e-90fae96a3dc0	political stance	10	NA	2023-12-10T10:31:52Z	937.8889	112.3333	FALSE	1	1	1	TRUE	politics_ambivalent
9ecd3093-30bb-42f3-b8bd-3e02ba94e179	60fd19bb0d1f1d54adccc4fa	c94e41bd-f30b-4392-abb1-e9ab18448fd8	corruption	-3	NA	2023-12-10T10:32:15Z	317.8889	334.3333	FALSE	1	1	1	TRUE	politics_negative
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	9518b88e-d024-408c-adda-cb02b35b32de	climate change	0	NA	2023-12-10T10:42:02Z	650	400	TRUE	0	0	0	TRUE	climate change_neutral
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	5a008293-5df4-4f8c-b80b-2a1e8139846e	global warming	-3	NA	2023-12-10T10:43:05Z	891	441	FALSE	1	1	1	TRUE	global warming_negative
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	857c7e44-8d43-4301-b71f-6c0914b8f194	human-driven	-3	"Dies ist im Gegensatz zu ""natürlicher Wandel"""	2023-12-10T10:43:25Z	807	538	FALSE	1	1	1	TRUE	man made_negative
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	55b2d58b-6c89-4195-a5cb-15c4649877bb	environmental pollution	-2	NA	2023-12-10T10:44:11Z	1077	550	FALSE	1	1	1	TRUE	environmental pollution_negative
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	d614e865-afc3-4b46-9010-a87e016e1542	natural change	1	NA	2023-12-10T10:44:47Z	524	532	FALSE	1	1	1	TRUE	natural process_positive
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	e6865c30-73a8-43f4-a7a2-e4bd6878e3d1	periodic natural processes	0	Dinge wie z.B. die damalige Eiszeit würde man nicht als menschengemachten Klimawandel ansehen und ist (meiner Meinung nach) deswegen natürlich.	2023-12-10T10:45:22Z	522	663	FALSE	1	1	1	TRUE	natural process_neutral
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	3ad5602d-3a00-4e4c-9a81-4b31c5a5dfd3	influence on nature	10	z.B. Öltankerunfälle, Verschmutzung der Umwelt, usw., schadet der natürlichen Umgebung und den natürlichen Lebensräumen von Tieren.	2023-12-10T10:46:36Z	983	339	FALSE	1	1	1	TRUE	environmental pollution_ambivalent
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	db8d7d4c-7b0b-4aa1-ad39-5f314927f26b	human measures	2	Damit meine, ich dass Menschen etwas gegen den Klimawandel tun.	2023-12-10T10:48:01Z	803	285	FALSE	1	1	1	TRUE	general measures against climate change_positive
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	19c1e103-c126-43e7-a468-926dbba1d364	politics	1	Hiermit meine ich, dass Menschen sich z.B. an die Politik wenden und Maßnahmen fördern, den Klimawandel zu verlangsamen oder zu verhindern.	2023-12-10T10:50:53Z	878	154	FALSE	1	1	1	TRUE	politics_positive
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	70ddfe98-b815-4916-b5b6-3d04e5388545	renewable energy	3	NA	2023-12-10T10:51:35Z	654	166	FALSE	1	1	1	TRUE	green technologies_positive
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	6b6307c4-451c-4c1a-a606-5301d27f4253	technological change	3	Damit meine ich zum Beispiel, dass wir auf Technologien und andere Dinge setzen, die der Natur möglichst nicht zur Last fühlen. Zum Beispiel fahren wir heutzutage auch nicht mehr mit Dampfzügen.	2023-12-10T10:51:42Z	530	289	FALSE	1	1	1	TRUE	green technologies_positive
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	922ee0b2-3806-4044-8c53-e99fe5871d00	destruction of habitats	-3	Vor allem für Tiere, und irgendwann auch für die Menschen.	2023-12-10T10:54:34Z	1145	338	FALSE	1	1	1	TRUE	destruction of the environment_negative
0f77c54c-4983-46b9-92fb-8abd07a5893b	6427068bce4fc1aa335ad025	42567064-b7c4-4cfa-8d3a-a7d2735c8fa7	environmentally friendly means of transportation	2	z.B. Züge mit Wasserstoff, Fahrzeuge mit Elektroantrieb, Fahrradfahren	2023-12-10T10:55:09Z	531	89	FALSE	1	1	1	TRUE	political measures against climate change_positive
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	dcd2881d-6e7b-445d-95e8-ccef40f6352b	climate change	0	NA	2023-12-10T10:59:04Z	650	400	TRUE	0	0	0	TRUE	climate change_neutral
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	d54762ad-ceee-43dc-99c5-e55e69b27381	man-made	-2	NA	2023-12-10T10:59:24Z	809	279	FALSE	1	1	1	TRUE	man made_negative
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	84879578-6506-442d-8430-55a52cf8ed09	indispensable/unstoppable	-1	"Sprich zu einem Teil ist Klimawandel ""normal"" und lässt sich nur in einem bestimmten Rahmen vom Mensch beeinflussen"	2023-12-10T10:59:39Z	675	145	FALSE	1	1	1	TRUE	natural process_negative
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	c1f28999-577d-46d4-95f3-0a48a95d609c	future	10	NA	2023-12-10T11:00:21Z	933	541	FALSE	1	1	1	TRUE	future_ambivalent
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	9da72593-ed91-40f9-b61b-28e6c2965aef	uncertainty	-2	NA	2023-12-10T11:00:35Z	424	404	FALSE	1	1	1	TRUE	negative emotions_negative
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	a70de76f-e7a3-4452-8df9-49756ffcbe5d	global	10	NA	2023-12-10T11:00:58Z	1106	252	FALSE	1	1	1	TRUE	global dimension_ambivalent
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	315df933-06b4-4ecd-86e1-ab603ca75064	cohesion	2	Dagegen anzugehen/eine Katastrophe zu verhindern fördert den Zusammenhalt in der Gesellschaft	2023-12-10T11:02:23Z	999	155	FALSE	1	1	1	TRUE	positive consequences_positive
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	201c1210-b604-4e64-a204-85bfd92901d3	hopelessness	-3	NA	2023-12-10T11:03:30Z	530	226	FALSE	1	1	1	TRUE	negative emotions_negative
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	b2dd937b-e462-48f4-9b9f-fba31fff09a2	course of things	10	NA	2023-12-10T11:04:04Z	531	552	FALSE	1	1	1	TRUE	natural process_ambivalent
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	70873feb-8831-468c-b29e-a76ee5d2029a	influencing climate change	3	NA	2023-12-10T11:05:28Z	995	344	FALSE	1	1	1	TRUE	protection of the environment_positive
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	5fb1a3c3-6ddb-4802-8535-451d234191c1	connection to nature	2	NA	2023-12-10T11:06:37Z	1139	422	FALSE	1	1	1	TRUE	environmental consciousness_positive
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	6301d764-a91d-4992-b0a8-01e25d28c2f8	apathy	-3	NA	2023-12-10T11:07:48Z	921	718	FALSE	1	1	1	TRUE	negative emotions_negative
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	093b920d-71c6-40bd-8fb1-51d3151be785	egoism	-3	NA	2023-12-10T11:08:03Z	774	685	FALSE	1	1	1	TRUE	environmental damaging behavior _negative
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	2e62158e-9ea7-466a-9286-a9e37f1649ef	selflessness	3	An Vorteile für zukünftige Generationen denken und deswegen handeln auch wenn man selbst den positiven Einfluss nicht mehr mitbekommt.	2023-12-10T11:08:25Z	1166	600	FALSE	1	1	1	TRUE	global dimension_positive
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	7490b0ca-fa36-4b59-9704-92c22b6ac4d3	actively doing something	3	Aktiv etwas gegen den Klimawandel tun	2023-12-10T11:10:12Z	592	707	FALSE	1	1	1	TRUE	activism_positive
77b3cb53-933f-4bb4-b7de-ebd5ddc15db7	65391c7ecf65866247606910	73c8641e-9da2-4f87-aed6-086c6602df08	doing nothing	-3	NA	2023-12-10T11:11:11Z	339	634	FALSE	1	1	1	TRUE	criticism_negative
845f9a37-d525-46da-b92f-d77518b39a01	64ef6d994d6b1f11074bdfcf	66b31d29-cafe-497e-813c-6125c5d8b1e9	climate change	-3	NA	2023-12-10T10:59:29Z	650	400	TRUE	0	0	0	TRUE	climate change_negative
