Words	raw	percent	mean_valence	sd_valence	mean_degree	sd_degree	comment_1	comment_2	comment_3	comment_4	comment_5	comment_6	comment_7	comment_8	comment_9	comment_10	comment_11	comment_12	comment_13	comment_14	comment_15	comment_16	comment_17	comment_18	comment_19	comment_20	comment_21	comment_22	comment_23	comment_24	comment_25	comment_26
activism	23	18.85	0.30434782608695654	2.618722495775645	1.826086956521739	0.9840627249521832	Aktiv etwas gegen den Klimawandel tun	Der Wille etwas zu tun	Hat ein viel besseres Verständnis für das Problem und setzt sich für seine Zukunft ein	DEmonstartionen nehmen zu.	Recently, there are a lot of protests that turn violent.  There has to be a better way.  																					
climate change	122	100	-0.9016393442622951	1.4511883763189404	6.516393442622951	3.094205746115712	Muss	negative Emotionen in Bezug auf die Zukunft unseres Planeten	Die Folge des KW sind größtenteils schlecht, er zeiht jedoch auch neue Innovationen nach sich.	Sorge um Klimawandel	Scam	danger to health	"
"	I believe that climate change is being used as a control mechanism to enslave the masses	"Little Effects

"	climate change is dangerous and scary	obviously bad	Climate change leads to many dangerous and disastrous results for life on planet earth.	climate change is negative													
conspirative narration	25	20.49	-2.04	1.3063945294843617	2.4	1.2909944487358056	Anzahl der Verschwörungen nimmt zu, da Menschen lieber leichte Erklärungen bevorzugen für schwierige Sachverhalte.	Falsche Infos zu diesem Thema 	Die absichtlich von bewussten Akteuren oder unabsichtlich von Privatpersonen im Internet und anderen Medien verbreitet werden	Possibly not true	leading peiole astray	Feeding people lies	The term climate change is used by media and Hollywood as a scare tactic to get people to accept loss of freedom and keep people on edge about consumption habits	People become smarter with healthier food as long as it is not bio engineered in the name of saving the climate 	is it real?																	
control	2	1.64	-1.5	2.1213203435596424	3	2.8284271247461903	Do they use it to control us?																									
costs	36	29.51	-1.7777777777777777	1.7746003350631796	1.8055555555555556	1.0090857090723107	Die Umstellung auf moderne, grüne Technologien erfordert hohe Investitionen	Durch die Co2 Steuer teurere Strompreise	Bekämpfung der Folgen des Klimanwandels sind sehr teuer	Investitionen im Bereich Nachhaltigkeit 	Die Kosten steigen.	"people using more fossil fuels to stay warm and cold seasonally
"	HVAC system very costly	it will take more energy to cool	Making everyone pay higher costs to convert.	Have to buy more clothes due to the colder weather plus more rain.  	climate change will require heavy financial funding to repair	clean energy is still somewhat expensive compared to traditional														
criticism	5	4.1	-2.8	0.44721359549995793	2.6	0.5477225575051661	von wissenschaftlichen Belegen																									
danger to humanity	76	62.3	-2.723684210526316	0.6850534618655942	2.039473684210526	1.1825485413426289	Auf das Insektensterben folgt unweigerlich eine Kettenreaktion die in einem Massensterben endet, lassen wir es weit genug kommen	verstärkt werden sozial benachteiligte Menschen von den Folgen des Klimawandels betroffen sein	Durch die Gletscher schmelze werden alte für die Menschheit unbekannte und potenziell gefährliche krankheiten freigesetzt	Fehlende bestäuber pflanzen	Folgen der Düre, Überschwemmungen etc	Hitzewellen, Luftverschmutzung	Danger to society	Danger to life	from climate change	Changes to the weather rain patterns as well as soil erosion. change growing season 	Americas wealth is diminished because of  excesive regulations	Due to storms	Lack of food	more people will die	there will be no humans	"people will have less children
"	Due to the poor weather conditions worsened by climate change, farms can be impacted making food more expensive. 	It is happening to the earth rapidly								
denial	11	9.02	-1.5454545454545454	2.423371055519	1.8181818181818181	1.5374122295716148	Menschen, die einfach aus Prinzip nicht an den Klimawandel glauben oder gegen Maßnahmen sind, die ihn bremsen würden.	Ob die Temperatur CO2 vorausgeht oder nicht, ist unklar.	Not Everybody believes that its a problem	Is it real?	Predictions never match the reality																					
destruction of the environment	125	102.46	-2.592	0.7630160865847435	1.952	1.1133790474163803	Vor allem für Tiere, und irgendwann auch für die Menschen.	Unbewohnbarkeit von Regionen, die durch enorme Hitze erzeugt wird	Lebensraum von Tieren eingeschränkt, Erhitzung der Meere	Auswirkung auf Natur und Tierwelt	Die ganze Biodiversität wird unter dem Klimawandel leiden und er Mensch genauso.	Wüsten breiten sich aus und zerstören Lebensraum.	siehe Holland	Durch schnellen Temperatur anstieg	für Mensch und Tier	j	Niederland & Norddeutschland in ca. 100 Jahren - nicht sicher über Quelle	die besonders sensibel auf Erderwärmung reagieren	Bad for wildlife	Endanger people animals	caused by climate change	CUrrently species at or above previous extinction events 	I don't know that I undertstand why it's happening, but I am aware that it is happening	animal and plant populations going extinct	Loss of diversity due to temp changes	Loss of land due to rising waters	"Rainforest tree destruction
"	Eat animal meat	animals will be unable to survive with habitat loss	Warmer weather leads to food sources not being sustainable and causes disruption in the ecosystem that can lead to animal extinction		
economy	27	22.13	-1	1.8187062180825984	2.4444444444444446	1.086041978694737	Unternehmen haben höhere Ausgaben 	Grüne Industrien schaffen viele Möglichkeiten für zukunftssichere Arbeit	Businesses use climate change as a selling point, both in the way they work sustainably and in the ways they ignore the issue. 	These policies limit the kinds and types of resources that can be use Ex: Coal which America has in abundance but does not hardly use.	more money	Due to upheaval																				
